,UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw_H2,Raw_Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT,Fire_Alarm
460,1654733791,0.8970765521398432,55.07,0.0,400.0,12766.0,19779,939.817,0.27,0.32,1.78,0.3339999999999999,0.0409999999999999,460,0
461,1654733792,0.8972523608599559,54.47,0.0,400.0,12770.0,19790,939.818,0.27,0.31,1.75,0.33,0.0409999999999999,461,0
462,1654733793,0.8974532851115129,53.91,9.0,400.0,12768.0,19784,939.841,0.25,0.3,1.67,0.314,0.039,462,0
463,1654733794,0.8976290938316254,53.42,5.0,400.0,12773.0,19784,939.839,0.25,0.29,1.62,0.304,0.038,463,0
464,1654733795,0.8978049025517378,52.94,0.0,400.0,12774.0,19797,939.843,0.23,0.27,1.49,0.28,0.035,464,0
465,1654733796,0.8980058268032951,52.56,7.0,400.0,12770.0,19784,939.835,0.22,0.25,1.42,0.268,0.033,465,0
466,1654733797,0.8981816355234076,52.26,6.0,400.0,12764.0,19784,939.829,0.2,0.23,1.29,0.242,0.03,466,0
467,1654733798,0.8983825597749648,51.95,9.0,400.0,12768.0,19786,939.829,0.19,0.22,1.22,0.2289999999999999,0.0279999999999999,467,0
468,1654733799,0.8985583684950773,51.68,13.0,400.0,12761.0,19780,939.82,0.17,0.19,1.08,0.204,0.025,468,0
469,1654733800,0.8987341772151898,51.44,10.0,400.0,12766.0,19776,939.817,0.16,0.18,1.02,0.191,0.024,469,0
470,1654733801,0.8989351014667468,51.23,13.0,400.0,12766.0,19781,939.818,0.15,0.18,0.98,0.184,0.023,470,0
471,1654733802,0.8991109101868595,51.03,4.0,400.0,12772.0,19778,939.835,0.15,0.17,0.96,0.179,0.022,471,0
472,1654733803,0.899286718906972,50.85,11.0,400.0,12766.0,19774,939.838,0.14,0.16,0.89,0.1669999999999999,0.02,472,0
474,1654733805,0.8996634518786417,50.45,12.0,400.0,12769.0,19779,939.827,0.11,0.13,0.74,0.138,0.017,474,0
475,1654733806,0.8998392605987542,50.31,5.0,400.0,12769.0,19775,939.831,0.11,0.12,0.7,0.131,0.016,475,0
476,1654733807,0.9000150693188667,50.19,9.0,400.0,12772.0,19786,939.834,0.11,0.13,0.71,0.132,0.016,476,0
477,1654733808,0.9002159935704239,50.11,4.0,400.0,12769.0,19782,939.834,0.11,0.12,0.7,0.131,0.016,477,0
478,1654733809,0.9003918022905364,50.02,8.0,400.0,12777.0,19790,939.828,0.1,0.12,0.67,0.126,0.015,478,0
479,1654733810,0.9005676110106489,49.93,11.0,400.0,12773.0,19779,939.828,0.1,0.12,0.65,0.122,0.015,479,0
480,1654733811,0.9007434197307613,49.84,0.0,400.0,12771.0,19783,939.83,0.13,0.15,0.86,0.159,0.019,480,0
481,1654733812,0.9009192284508738,49.77,11.0,400.0,12772.0,19778,939.825,0.15,0.17,0.97,0.179,0.021,481,0
482,1654733813,0.9011201527024311,49.64,9.0,400.0,12779.0,19792,939.812,0.17,0.19,1.1,0.204,0.024,482,0
488,1654733819,0.9021750050231061,51.46,37.0,400.0,12757.0,19759,939.835,0.27,0.28,1.89,0.294,0.0069999999999999,488,0
489,1654733820,0.9023508137432186,51.99,37.0,400.0,12754.0,19756,939.828,0.27,0.28,1.89,0.294,0.0069999999999999,489,0
491,1654733822,0.9027024311834437,52.98,29.0,400.0,12764.0,19758,939.83,0.28,0.29,1.91,0.298,0.0069999999999999,491,0
502,1654733833,0.9046363271046816,56.01,8.0,400.0,12776.0,19779,939.835,0.28,0.31,1.88,0.326,0.027,502,0
503,1654733834,0.904812135824794,56.16,12.0,400.0,12780.0,19771,939.844,0.29,0.32,1.93,0.336,0.0279999999999999,503,0
504,1654733835,0.9049628290134619,56.28,8.0,400.0,12783.0,19782,939.837,0.29,0.32,1.93,0.335,0.0279999999999999,504,0
505,1654733836,0.9051386377335744,56.42,12.0,400.0,12781.0,19777,939.842,0.28,0.31,1.86,0.324,0.027,505,0
506,1654733837,0.9053144464536869,56.56,18.0,400.0,12782.0,19771,939.845,0.27,0.3,1.81,0.315,0.026,506,0
507,1654733838,0.9054902551737993,56.64,8.0,400.0,12789.0,19783,939.838,0.29,0.32,1.92,0.332,0.027,507,0
508,1654733839,0.9056660638939118,56.76,0.0,400.0,12786.0,19790,939.827,0.29,0.32,1.95,0.3379999999999999,0.027,508,0
509,1654733840,0.9058167570825797,56.86,14.0,400.0,12781.0,19777,939.816,0.29,0.32,1.95,0.337,0.027,509,0
510,1654733841,0.9059925658026924,56.96,17.0,400.0,12782.0,19776,939.823,0.29,0.33,1.97,0.34,0.027,510,0
511,1654733842,0.9061683745228049,57.01,10.0,400.0,12788.0,19790,939.824,0.3,0.33,1.99,0.344,0.0279999999999999,511,0
512,1654733843,0.9063441832429173,57.09,15.0,400.0,12788.0,19782,939.823,0.31,0.35,2.09,0.36,0.0279999999999999,512,0
513,1654733844,0.9064948764315852,57.14,7.0,400.0,12791.0,19786,939.827,0.35,0.38,2.32,0.3989999999999999,0.031,513,0
514,1654733845,0.9066706851516977,57.39,0.0,400.0,12810.0,19806,939.829,0.36,0.39,2.4,0.412,0.032,514,0
515,1654733846,0.9068464938718102,57.16,0.0,400.0,12809.0,19809,939.828,0.38,0.42,2.53,0.433,0.033,515,0
516,1654733847,0.906997187060478,56.51,0.0,400.0,12813.0,19817,939.827,0.38,0.42,2.54,0.435,0.033,516,0
517,1654733848,0.9071729957805905,55.84,0.0,400.0,12813.0,19807,939.831,0.37,0.41,2.48,0.426,0.033,517,0
518,1654733849,0.9073488045007032,55.2,0.0,400.0,12809.0,19808,939.825,0.36,0.4,2.42,0.416,0.032,518,0
519,1654733850,0.9074994976893711,54.57,3.0,400.0,12808.0,19804,939.83,0.34,0.37,2.27,0.39,0.03,519,0
520,1654733851,0.9076753064094836,54.0,2.0,400.0,12812.0,19807,939.825,0.33,0.36,2.19,0.375,0.0289999999999999,520,0
521,1654733852,0.907851115129596,53.51,5.0,400.0,12816.0,19809,939.816,0.3,0.33,2.0,0.3429999999999999,0.026,521,0
522,1654733853,0.9080018083182639,53.1,8.0,400.0,12805.0,19804,939.817,0.28,0.31,1.9,0.326,0.025,522,0
523,1654733854,0.9081776170383764,52.7,12.0,400.0,12808.0,19801,939.82,0.27,0.3,1.8,0.309,0.024,523,0
524,1654733855,0.9083283102270443,52.38,7.0,400.0,12807.0,19798,939.829,0.24,0.26,1.61,0.276,0.021,524,0
525,1654733856,0.9085041189471568,52.07,11.0,400.0,12809.0,19805,939.85,0.23,0.25,1.51,0.26,0.02,525,0
534,1654733865,0.9099608197709461,50.49,3.0,400.0,12813.0,19809,939.825,0.15,0.16,0.98,0.168,0.013,534,0
535,1654733866,0.9101366284910588,50.39,12.0,400.0,12812.0,19803,939.818,0.14,0.16,0.96,0.166,0.013,535,0
536,1654733867,0.9102873216797267,50.23,14.0,400.0,12814.0,19808,939.821,0.14,0.15,0.92,0.158,0.012,536,0
562,1654733893,0.9143309222423146,56.39,16.0,400.0,12815.0,19798,939.835,0.12,0.13,0.79,0.133,0.009,562,0
563,1654733894,0.9144816154309823,56.55,16.0,400.0,12825.0,19807,939.835,0.12,0.13,0.79,0.134,0.009,563,0
564,1654733895,0.9146323086196502,56.65,10.0,400.0,12823.0,19800,939.835,0.11,0.12,0.77,0.13,0.009,564,0
565,1654733896,0.9147830018083181,56.75,1.0,400.0,12825.0,19811,939.835,0.11,0.12,0.75,0.127,0.009,565,0
566,1654733897,0.9149336949969862,56.93,8.0,400.0,12820.0,19810,939.825,0.25,0.27,1.71,0.285,0.018,566,0
567,1654733898,0.9150843881856539,57.02,0.0,400.0,12822.0,19807,939.832,0.33,0.36,2.22,0.37,0.023,567,0
568,1654733899,0.9152350813743217,57.24,6.0,400.0,12825.0,19805,939.828,0.41,0.45,2.8,0.467,0.0279999999999999,568,0
569,1654733900,0.9153857745629896,57.44,0.0,400.0,12841.0,19838,939.83,0.43,0.46,2.89,0.482,0.0289999999999999,569,0
570,1654733901,0.9155364677516575,57.21,0.0,400.0,12853.0,19832,939.839,0.43,0.46,2.89,0.481,0.0289999999999999,570,0
571,1654733902,0.9156871609403254,56.63,0.0,400.0,12843.0,19826,939.839,0.41,0.45,2.79,0.465,0.0279999999999999,571,0
572,1654733903,0.9158378541289933,55.88,0.0,400.0,12849.0,19836,939.83,0.4,0.44,2.72,0.4529999999999999,0.027,572,0
573,1654733904,0.9159885473176612,55.23,2.0,400.0,12844.0,19827,939.83,0.37,0.41,2.53,0.422,0.026,573,0
574,1654733905,0.9161141249748843,54.63,2.0,400.0,12844.0,19826,939.838,0.36,0.39,2.43,0.405,0.025,574,0
575,1654733906,0.9162648181635522,54.06,0.0,400.0,12847.0,19835,939.844,0.33,0.35,2.21,0.368,0.022,575,0
576,1654733907,0.9164155113522201,53.56,4.0,400.0,12853.0,19840,939.843,0.31,0.34,2.1,0.349,0.021,576,0
577,1654733908,0.916566204540888,53.13,9.0,400.0,12839.0,19824,939.832,0.29,0.32,1.98,0.3289999999999999,0.02,577,0
578,1654733909,0.9167168977295559,52.74,14.0,400.0,12840.0,19822,939.839,0.29,0.31,2.03,0.316,0.0069999999999999,578,0
579,1654733910,0.9168675909182238,52.4,16.0,400.0,12837.0,19814,939.832,0.29,0.3,2.0,0.312,0.0069999999999999,579,0
580,1654733911,0.9169931685754469,52.13,3.0,400.0,12849.0,19830,939.831,0.29,0.3,1.97,0.307,0.0069999999999999,580,0
582,1654733913,0.9172945549527827,51.64,2.0,400.0,12841.0,19819,939.827,0.28,0.3,1.88,0.315,0.02,582,0
583,1654733914,0.9174452481414506,51.42,11.0,400.0,12843.0,19813,939.843,0.27,0.3,1.84,0.308,0.019,583,0
